Standard Report
wellLabel,concentration,replicate 1 intensity,replicate 2 intensity,mean replicate intensity,mean replicate calculated concentration,percent bias,within limits of quantification,upper percent difference,lower percent difference
stnd01,150.0,320230.5,360533.0,340381.75,106.24889030622357,29.16740646251762,False,41.290415342695354,69.41105958479011
stnd02,50.0,329563.6875,289662.75,309613.21875,53.99496787900199,7.98993575800398,False,25.7743138094569,32.56240844569779
stnd03,16.666666666666668,221942.078125,208220.390625,215081.234375,17.63501189082552,5.810071344953116,True,11.058959582554403,11.848142590690083
stnd04,5.555555555555555,93825.4453125,103210.7265625,98518.0859375,5.529933103510718,0.46120413680707273,True,6.043190001791921,6.42447212816859
stnd05,1.8518518518518519,37084.32421875,35439.05078125,36261.6875,1.9444111753772775,4.998203470372983,True,5.0162263851987134,5.282836810365683
stnd06,0.6172839506172839,10725.529296875,9971.8583984375,10348.69384765625,0.6131726961070632,0.6660232306557636,True,5.096574608672219,5.177613540427211
stnd07,0.205761316872428,3249.2216796875,2505.074462890625,2877.1480712890625,0.1968296094211907,4.340809821301319,True,5.720106435652303,5.540607596778037
stnd08,0.06858710562414266,871.343505859375,860.60009765625,865.9718017578125,0.06721473652081376,2.000914152653535,True,7.0634708870951375,6.440700565024349
stnd09,0.022862368541380886,302.5606689453125,313.1566162109375,307.858642578125,0.025297411387274295,10.650877407937772,True,10.19593646248506,8.572372385692958
stnd10,0.007620789513793629,136.62307739257812,91.52664184570312,114.07485961914062,0.008310883890574796,9.055418412122467,True,21.30733916173332,15.44673339943053
stnd11,0.002540263171264543,48.51689147949219,68.83990478515625,58.67839813232422,0.0025347877644256653,0.21554486561925962,False,67.73006474764166,34.4906975095209
blank,1e-10,39.332427978515625,51.856414794921875,,,,False,,

NOTE: The back-calculated concentrations of unknowns do not account for the dilution factor.
Please multiply by the dilution factor for the correct concentration.

Unknown Report
wellLabel,replicate 1 intensity,replicate 1 concentration (pg/ml),mean of rep concentration (pg/ml),stdev of rep concentration (pg/ml),within limits of quantification
unk01,362570.1875,329.0635078574793,329.0635078574793,nan,FALSE
unk10,127.73359680175781,0.009620952349638475,0.009620952349638475,nan,TRUE
unk11,61.39556884765625,0.002848118259909003,0.002848118259909003,nan,FALSE
unk12,35.14007568359375,nan,nan,nan,FALSE
unk13,344570.46875,121.6703654249242,121.6703654249242,nan,FALSE
unk14,288550.625,39.416155586091435,39.416155586091435,nan,FALSE
unk15,222458.609375,18.934633274095106,18.934633274095106,nan,FALSE
unk16,111139.3203125,6.396531366511255,6.396531366511255,nan,TRUE
unk17,38427.46875,2.0563376358479277,2.0563376358479277,nan,TRUE
unk18,11693.26171875,0.6841462293888961,0.6841462293888961,nan,TRUE
unk19,3375.720947265625,0.22675309977018232,0.22675309977018232,nan,TRUE
unk02,347592.1875,135.86793359763453,135.86793359763453,nan,FALSE
unk20,1040.635498046875,0.07940659110657333,0.07940659110657333,nan,TRUE
unk21,392.1300048828125,0.032069349686317056,0.032069349686317056,nan,TRUE
unk22,151.20486450195312,0.011811893965727332,0.011811893965727332,nan,TRUE
unk23,76.43565368652344,0.004503301648722926,0.004503301648722926,nan,FALSE
unk24,45.80738830566406,0.0009399620847147242,0.0009399620847147242,nan,FALSE
unk25,4781.4443359375,0.3086007466536076,0.3086007466536076,nan,TRUE
unk26,31619.0390625,1.7059392494206498,1.7059392494206498,nan,TRUE
unk27,6782.77783203125,0.42076754396139027,0.42076754396139027,nan,TRUE
unk28,34117.56640625,1.8340556371642953,1.8340556371642953,nan,TRUE
unk29,205711.078125,16.132704884423703,16.132704884423703,nan,TRUE
unk03,191821.84375,14.161320375426694,14.161320375426694,nan,TRUE
unk30,10409.3125,0.616387236173487,0.616387236173487,nan,TRUE
unk31,300.247802734375,0.024673068291482466,0.024673068291482466,nan,TRUE
unk32,855.1109619140625,0.06644629032189181,0.06644629032189181,nan,TRUE
unk33,843.220947265625,0.06560351117540025,0.06560351117540025,nan,TRUE
unk34,814.5968627929688,0.06356794314839152,0.06356794314839152,nan,TRUE
unk35,804.6229858398438,0.06285639744027957,0.06285639744027957,nan,TRUE
unk36,775.02392578125,0.06073764045894767,0.06073764045894767,nan,TRUE
unk37,3817.153564453125,0.2528127240639886,0.2528127240639886,nan,TRUE
unk38,29546.568359375,1.5999844377343744,1.5999844377343744,nan,TRUE
unk39,7010.212890625,0.43327919950004923,0.43327919950004923,nan,TRUE
unk04,108619.328125,6.218417412121303,6.218417412121303,nan,TRUE
unk40,32929.3828125,1.7730710456333696,1.7730710456333696,nan,TRUE
unk41,214064.140625,17.46431865268982,17.46431865268982,nan,FALSE
unk42,10286.4775390625,0.6098718667445062,0.6098718667445062,nan,TRUE
unk43,314.6387939453125,0.02585164600492316,0.02585164600492316,nan,TRUE
unk44,835.441650390625,0.06505123538824083,0.06505123538824083,nan,TRUE
unk45,811.3692626953125,0.06333781329416568,0.06333781329416568,nan,TRUE
unk46,827.8572998046875,0.06451212853401538,0.06451212853401538,nan,TRUE
unk47,756.4307861328125,0.05940108544030534,0.05940108544030534,nan,TRUE
unk48,821.9324340820312,0.06409051466688714,0.06409051466688714,nan,TRUE
unk49,812.8897705078125,0.0634462418791124,0.0634462418791124,nan,TRUE
unk05,38426.4296875,2.05628381780185,2.05628381780185,nan,TRUE
unk50,731.0064697265625,0.057566173644762346,0.057566173644762346,nan,TRUE
unk51,827.911865234375,0.0645160095087245,0.0645160095087245,nan,TRUE
unk52,844.0355224609375,0.06566130033936539,0.06566130033936539,nan,TRUE
unk53,797.3941650390625,0.062339938020311444,0.062339938020311444,nan,TRUE
unk54,881.0496215820312,0.06827939875950995,0.06827939875950995,nan,TRUE
unk55,843.33447265625,0.06561156556544873,0.06561156556544873,nan,TRUE
unk56,809.2242431640625,0.06318480336684618,0.06318480336684618,nan,TRUE
unk57,847.6195068359375,0.06591547274056789,0.06591547274056789,nan,TRUE
unk58,831.136474609375,0.0647452988889575,0.0647452988889575,nan,TRUE
unk59,869.3990478515625,0.06745695651219408,0.06745695651219408,nan,TRUE
